time,bitrate
0,633
1,4292
2,11520
3,11523
4,11515
5,11523
6,10239
7,11523
8,11516
9,10241
10,11519
11,11525
12,10239
13,11519
14,11519
15,10238
16,10243
17,11512
18,12801
19,12808
20,11522
21,14069
22,12810
23,11519
24,12799
25,12801
26,14074
27,12805
28,14078
29,14082
30,14074
31,10245
32,14079
33,11511
34,10243
35,11526
36,12793
37,12808
38,14077
39,12802
40,10238
41,11512
42,10248
43,14076
44,11521
45,12793
46,10240
47,12802
48,10241
49,11526
50,11522
51,11519
52,10231
53,11523
54,10245
55,10239
56,11514
57,12806
58,11513
59,11530
60,11517
61,11478
